id,name,lat,lon,elevation,inception,zone,zoneid,location,locationid
101009,Helsinki Malmi airfield,60.25,25.05,15,1937,Boreal,6,in,1
101022,Porvoo Kalbådagrund,59.99,25.6,0,1977,NA,NA,NA,NA
101023,Porvoo Emäsalo,60.2,25.63,19,1974,NA,NA,NA,NA
101028,Porvoo Harabacka,60.39,25.61,22,2006,Boreal,6,in,1
101029,Sipoo Eestiluoto,60.12,25.22,13,2008,NA,NA,NA,NA
101030,Kotka Rankki,60.38,26.96,11,1933,NA,NA,NA,NA
101039,Loviisa Orrengrund,60.27,26.45,1,1974,NA,NA,NA,NA
101042,Kotka Haapasaari,60.29,27.18,4,1986,NA,NA,NA,NA
101044,Pori airport,61.46,21.81,11,1945,Boreal,6,town,4
101059,Kustavi Isokari,60.72,21.03,5,1974,NA,NA,NA,NA
101061,Rauma Kylmäpihlaja,61.14,21.3,4,1990,NA,NA,NA,NA
101064,Pori railway station,61.48,21.78,9,2008,Boreal,6,town,4
101065,Turku airport,60.52,22.28,45,1955,Boreal,6,in,1
101103,Kokemäki Tulkkila,61.25,22.35,38,2010,Boreal,6,in,1
101104,Jokioinen Ilmala,60.81,23.5,104,1957,Boreal,6,in,1
101118,Pirkkala Tampere-Pirkkala airport,61.42,23.62,112,1979,Boreal,6,in,1
101124,Tampere Härmälä,61.47,23.75,85,1997,Boreal,6,town,4
101128,Somero Salkola,60.65,23.81,142,2010,Boreal,6,in,1
101130,Hyvinkää Hyvinkäänkylä,60.6,24.8,86,1930,Boreal,6,in,1
101149,Nurmijärvi Röykkä,60.51,24.65,110,1952,Boreal,6,in,1
101150,Hämeenlinna Katinen,61,24.49,87,2001,Boreal,6,town,4
101151,Hattula Lepaa,61.11,24.32,87,2006,Boreal,6,in,1
101154,Hämeenlinna Lammi Pappila,61.05,25.04,125,1963,Boreal,6,in,1
101185,Asikkala Pulkkilanharju,61.27,25.52,79,1991,Boreal,6,in,1
101191,Kouvola Utti airport,60.9,26.95,102,1944,Boreal,6,in,1
101194,Kouvola Anjala,60.7,26.81,31,1941,Boreal,6,in,1
101196,Heinola Asemantaus,61.2,26.05,93,1908,Boreal,6,in,1
101219,Kouvola Utti Lentoportintie,60.89,26.93,99,2008,Boreal,6,in,1
101231,Virolahti Koivuniemi,60.53,27.67,5,1976,Boreal,6,coastal in land,2
101237,Lappeenranta airport,61.04,28.13,104,1950,Boreal,6,town,4
101246,Lappeenranta Konnunsuo,61.04,28.56,46,1991,Boreal,6,in,1
101247,Lappeenranta Lepola,61.06,28.21,103,1995,Boreal,6,town,4
101252,Lappeenranta Hiekkapakka,61.2,28.47,77,2009,Boreal,6,in,1
101254,Parikkala Koitsanlahti,61.44,29.46,74,1991,Boreal,6,in,1
101256,Kaskinen Sälgrund,62.33,21.19,5,1876,NA,NA,NA,NA
101267,Pori Tahkoluoto harbour,61.63,21.38,3,1996,NA,NA,NA,NA
101268,Kristiinankaupunki lighthouse,62.2,21.17,0,1997,NA,NA,NA,NA
101272,Karvia Alkkia,62.18,22.8,162,1966,Boreal,6,in,1
101289,Kauhajoki Kuja-Kokko,62.41,22.18,93,1986,Boreal,6,town,4
101291,Kankaanpää Niinisalo airfield,61.84,22.46,123,1998,Boreal,6,in,1
101310,Virrat Äijänneva,62.33,23.54,138,1986,Boreal,6,in,1
101311,Tampere Siilinkari,61.52,23.75,96,1989,Boreal,6,in,1
101315,Jämsä Halli airport,61.86,24.8,144,1964,Boreal,6,in,1
101317,Juupajoki Hyytiälä,61.85,24.29,154,1956,Boreal,6,in,1
101338,Jämsä Halli Lentoasemantie,61.86,24.81,144,2008,Boreal,6,in,1
101339,Jyväskylä airport,62.4,25.67,139,1945,Boreal,6,in,1
101362,Luhanka Judinsalo,61.7,25.51,80,1990,Boreal,6,in,1
101367,Joutsa Savenaho,61.88,26.09,145,1946,Boreal,6,in,1
101398,Mikkeli airport,61.69,27.2,99,1951,Boreal,6,town,4
101418,Juva Partala,61.89,27.89,110,1992,Boreal,6,in,1
101421,Varkaus Kosulanniemi,62.32,27.91,83,2007,Boreal,6,in,1
101430,Savonlinna airport,61.95,28.93,92,1974,Boreal,6,in,1
101436,Rantasalmi Rukkasluoto,62.06,28.57,79,1997,Boreal,6,in,1
101441,Savonlinna Punkaharju Laukansaari,61.8,29.32,79,1904,Boreal,6,in,1
